"","review_doi","type","id","compID","subID","name","group_label_1","group_label_2","graph_label_1","graph_label_2","chi2","ci_end","ci_start","ci_study","ci_total","df","effect_measure","effect_size","estimable","i2","i2_q","method","no","p_chi2","p_q","p_z","q","random","scale","sort_by","studies","subgroups","subgroup_test","swap_events","tau2","total_1","total_2","totals","weight","z","study_id","study_year","study_ci_end","study_ci_start","study_effect_size","study_estimable","study_order","study_se","study_total_1","study_total_2","study_var","study_weight","study_mean_1","study_mean_2","study_sd_1","study_sd_2","subgroup_type","subgroup_name","subgroup_chi2","subgroup_ci_end","subgroup_ci_start","subgroup_df","subgroup_effect_size","subgroup_estimable","subgroup_i2","subgroup_id","subgroup_no","subgroup_p_chi2","subgroup_p_z","subgroup_studies","subgroup_tau2","subgroup_total_1","subgroup_total_2","subgroup_weight","subgroup_z","sample_size_per_group","date","meta.table.size","review_year","review_topic","review_title","review_keywords"
"1","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-Mino-1999",1999,0.0508347029433694,0.00916529705663107,0.0300000000000002,"YES",336,0.0106301458127346,100,100,0.000113,25.363955120772,7.24,7.21,0.07,0.08,"CONT","Mixed or other indications",31.2351823473216,0.0475963485374192,0.0183705657983778,2,0.0329834571678985,"YES",93.5969639051219,"CMP-001.18.02",2,1.64956456161214e-07,9.69220616107735e-06,3,0,172,189,51.5607576007948,4.42392860522721,427.5,"1999-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"2","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-Wang-1997",1997,0,0,0,"NO",276,0,39,39,0,0,7.24,7.19,0,0,"CONT","Oligohydramnios",3.81524607762999,0.0470258014649183,0.0168730376835129,2,0.0319494195742156,"YES",47.5787417297499,"CMP-001.18.01",1,0.148432908642533,3.27432057605363e-05,4,0,283,211,48.4392423992052,4.15349731430177,427.5,"1997-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"3","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-Nageotte-1991",1991,0.0430574862971987,-0.0430574862971987,0,"YES",6431,0.0219685089301797,50,26,0.000482615384615385,5.93873925285529,7.28,7.28,0.07,0.1,"CONT","Oligohydramnios",3.81524607762999,0.0470258014649183,0.0168730376835129,2,0.0319494195742156,"YES",47.5787417297499,"CMP-001.18.01",1,0.148432908642533,3.27432057605363e-05,4,0,283,211,48.4392423992052,4.15349731430177,427.5,"1991-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"4","10.1002/14651858.CD000013.pub2","CONT","CMP-001.09",1,9,"Rupture of membranes to delivery interval (hours)","Treatment","Control","Treatment","Control",5.2032246910162,3.90508941926193,-0.126397081161241,95,95,3,"MD",1.88934616905034,"YES",42.3434470323807,0,"",9,0.157506982448086,0.421506978506414,0.0662003682726368,1.72783950657304,"YES",100,"STUDY",4,"YES","YES","",1.75447077376664,253,231,"YES",100,1.83706453948374,"STD-Strong-1990",1990,11.61504364549,1.78495635450998,6.7,"YES",6371,2.50772140930101,30,30,6.28866666666667,13.1506965451628,16.8,10.1,12.1,6.5,"CONT","Oligohydramnios",3.61645388654976,8.51165073863632,-1.26757331279419,1,3.62203871292107,"YES",72.3486035942784,"CMP-001.09.02",2,0.0572108770773133,0.146538641909141,2,9.4089358974359,80,56,52.9458633609442,1.45186681286776,242,"1990-07-15",4,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"5","10.1002/14651858.CD000013.pub2","CONT","CMP-001.09",1,9,"Rupture of membranes to delivery interval (hours)","Treatment","Control","Treatment","Control",5.2032246910162,3.90508941926193,-0.126397081161241,95,95,3,"MD",1.88934616905034,"YES",42.3434470323807,0,"",9,0.157506982448086,0.421506978506414,0.0662003682726368,1.72783950657304,"YES",100,"STUDY",4,"YES","YES","",1.75447077376664,253,231,"YES",100,1.83706453948374,"STD-Regi-2009",2009,4.34275045102017,-1.10275045102017,1.62,"YES",314,1.38918391995816,73,75,1.92983196347032,28.7090576681275,11.14,9.52,8.3,8.6,"CONT","FHR decelerations",0,4.34275045102017,-1.10275045102017,0,1.62,"YES",0,"CMP-001.09.01",1,1,0.243552901332236,1,0,73,75,28.7090576681275,1.16615228316837,242,"2009-07-15",4,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"6","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-MacGregor-1991",1991,0.0565525377986018,-0.0365525377986023,0.00999999999999979,"YES",6429,0.0237517312388404,19,16,0.000564144736842105,5.08048155282076,7.25,7.24,0.07,0.07,"CONT","Oligohydramnios",3.81524607762999,0.0470258014649183,0.0168730376835129,2,0.0319494195742156,"YES",47.5787417297499,"CMP-001.18.01",1,0.148432908642533,3.27432057605363e-05,4,0,283,211,48.4392423992052,4.15349731430177,427.5,"1991-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"7","10.1002/14651858.CD000013.pub2","CONT","CMP-001.09",1,9,"Rupture of membranes to delivery interval (hours)","Treatment","Control","Treatment","Control",5.2032246910162,3.90508941926193,-0.126397081161241,95,95,3,"MD",1.88934616905034,"YES",42.3434470323807,0,"",9,0.157506982448086,0.421506978506414,0.0662003682726368,1.72783950657304,"YES",100,"STUDY",4,"YES","YES","",1.75447077376664,253,231,"YES",100,1.83706453948374,"STD-Mino-1999",1999,3.41544334756379,-4.43544334756379,-0.509999999999998,"YES",315,2.00281402032241,100,100,4.011264,18.3450789709282,17.82,18.33,13.92,14.4,"CONT","Mixed or other indications",0,3.41544334756379,-4.43544334756379,0,-0.509999999999998,"YES",0,"CMP-001.09.03",3,1,0.798999836130524,1,0,100,100,18.3450789709282,0.254641716517393,242,"1999-07-15",4,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"8","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-Schrimmer-1991",1991,0.0571531459903198,0.0228468540096785,0.0399999999999991,"YES",6433,0.00875176591285477,175,130,7.65934065934066e-05,37.4200215935292,7.27,7.23,0.05,0.09,"CONT","Oligohydramnios",3.81524607762999,0.0470258014649183,0.0168730376835129,2,0.0319494195742156,"YES",47.5787417297499,"CMP-001.18.01",1,0.148432908642533,3.27432057605363e-05,4,0,283,211,48.4392423992052,4.15349731430177,427.5,"1991-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"9","10.1002/14651858.CD000013.pub2","CONT","CMP-001.09",1,9,"Rupture of membranes to delivery interval (hours)","Treatment","Control","Treatment","Control",5.2032246910162,3.90508941926193,-0.126397081161241,95,95,3,"MD",1.88934616905034,"YES",42.3434470323807,0,"",9,0.157506982448086,0.421506978506414,0.0662003682726368,1.72783950657304,"YES",100,"STUDY",4,"YES","YES","",1.75447077376664,253,231,"YES",100,1.83706453948374,"STD-Nageotte-1991",1991,3.46295740586868,-0.262957405868681,1.6,"YES",6370,0.950505938151645,50,26,0.903461538461539,39.7951668157814,8.6,7,4.5,3.6,"CONT","Oligohydramnios",3.61645388654976,8.51165073863632,-1.26757331279419,1,3.62203871292107,"YES",72.3486035942784,"CMP-001.09.02",2,0.0572108770773133,0.146538641909141,2,9.4089358974359,80,56,52.9458633609442,1.45186681286776,242,"1991-07-15",4,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
"10","10.1002/14651858.CD000013.pub2","CONT","CMP-001.18",1,18,"Umbilical cord arterial pH","Amnioinfusion","Control","Amnioinfusion","Control",35.0597458062614,0.0429754836387441,0.021989670744047,95,95,5,"MD",0.0324825771913955,"YES",85.738630201058,0,"",18,1.46391294497672e-06,0.923102362561656,1.29995900541498e-09,0.00931738130981853,"NO",10,"STUDY",7,"YES","YES","",0,455,400,"YES",100,6.06740198624994,"STD-Nageotte-1985",1985,0.143157985573645,0.0768420144263535,0.109999999999999,"YES",337,0.0169176504441877,29,32,0.000286206896551724,10.014178425394,7.34,7.23,0.05,0.08,"CONT","Mixed or other indications",31.2351823473216,0.0475963485374192,0.0183705657983778,2,0.0329834571678985,"YES",93.5969639051219,"CMP-001.18.02",2,1.64956456161214e-07,9.69220616107735e-06,3,0,172,189,51.5607576007948,4.42392860522721,427.5,"1985-07-15",6,2012,"[Pregnancy and Childbirth]","Amnioinfusion for potential or suspected umbilical cord compression in labour","*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic"
